,Crystal_Structure,Mohs_Hardness,Diaphaneity,Specific_Gravity,Optical,Refractive_Index,Dispersion,Molar_Mass,Molar_Volume,Calculated_Density
65,3.0,5.75,2.0,3.025,4.0,1.646,0.0,796.702696,0.13459948,4.913
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2870.5589,0.5724956999999999,4.162
67,3.0,3.25,2.0,3.9,4.0,1.751,0.0,258.17822,0.10083658,2.125
68,5.0,3.0,1.0,2.685,3.0,1.492,0.0,165.251168,0.022523599999999998,6.09
69,3.0,4.75,2.0,2.35,0.0,1.536,0.0,190.257803,0.0560697,2.8160000000000003
70,3.0,3.75,2.0,2.95,4.0,1.634,0.0,84.0878,0.02242321,3.113
71,3.0,2.0,2.0,2.66,4.0,1.495,0.0,158.26080000000005,0.033695800000000005,3.898
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.078802,0.033664700000000006,2.541
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.38725999999997,0.0897457,4.323
74,2.0,5.5,1.0,3.4,4.0,1.682,0.0,642.9583640000002,0.06741060000000001,7.916
75,4.0,6.5,1.0,6.28,3.0,2.01,0.0,88.6094,0.0112096,6.561
76,3.0,5.0,0.0,3.82,4.0,0.0,0.0,192.3682,0.0336372,4.747
77,3.0,5.5,2.0,0.0,4.0,1.804,0.0,620.5606300000002,0.08970295,5.742000000000001
78,6.0,1.5,3.0,3.87,1.0,1.755,0.0,90.92099,0.0112091,6.732
79,2.0,3.5,0.0,0.0,4.0,0.0,0.0,311.35019,0.04486528,5.76
80,2.0,2.5,3.0,2.02,4.0,1.526,0.0,104.34536,0.08964330999999999,0.966
81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,325.191428,0.07844628999999999,3.4410000000000003
82,4.0,0.0,3.0,4.38,3.0,1.793,0.0,426.2922,0.0670528,5.277
83,1.0,3.5,1.0,3.3,4.0,1.703,0.0,1131.4144359999998,0.17938126,5.235
84,3.0,3.25,2.0,3.76,4.0,1.857,0.0,196.55938,0.05585618,2.9210000000000003
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.150799,0.29115948,0.992
86,2.0,4.25,3.0,2.696,4.0,1.579,0.0,166.95103999999995,0.033660980000000014,4.117
87,2.0,5.75,1.0,3.375,4.0,1.72,0.0,196.3137,0.033647090000000004,4.843
88,2.0,2.0,3.0,3.96,4.0,1.713,0.0,640.2484000000002,0.06731653000000001,7.894
89,3.0,4.25,2.0,4.12,4.0,1.768,0.0,261.39453000000003,0.06723815999999999,3.227
90,3.0,2.25,2.0,3.15,4.0,1.568,0.0,528.1602019999998,0.2689134,1.63
91,3.0,0.0,2.0,2.9,4.0,1.324,0.0,106.904509,0.03365609,2.636
92,2.0,3.75,2.0,3.776,4.0,1.775,0.0,204.10854,0.05601349,3.024
93,1.0,3.5,3.0,4.31,3.0,1.631,0.0,520.61789,0.11209396,3.855
94,1.0,5.75,1.0,3.3,0.0,1.712,0.0,703.8060289999999,0.17932181999999994,3.258
95,2.0,6.5,2.0,5.75,4.0,2.173,0.0,79.8788,0.022402599999999998,2.959
96,2.0,2.33,2.0,2.88,4.0,1.638,0.0,171.79838,0.07844678,1.818
97,3.0,6.5,2.0,3.065,4.0,1.5730000000000002,0.0,350.447846,0.05608708,5.186
98,4.0,6.0,0.0,0.0,3.0,1.97,0.0,557.37438,0.08949229,5.169
99,5.0,2.5,3.0,2.152,3.0,0.989,0.0,47.083903,0.0112141,3.485
100,3.0,3.5,2.0,2.13,4.0,1.484,0.0,874.6739670000003,0.12368525,5.87
101,2.0,3.0,0.0,0.0,0.0,0.0,0.0,824.4279399999997,0.08897821,7.69
102,2.0,4.0,2.0,3.675,4.0,1.632,0.0,297.4234,0.06725162,3.671
103,2.0,0.0,3.0,2.725,4.0,1.5659999999999998,0.0,192.219,0.05604819999999999,2.847
104,2.0,2.33,0.0,0.0,0.0,0.0,0.0,553.7645300000001,0.06724267,6.835
105,2.0,2.25,3.0,2.05,4.0,1.482,0.0,3101.23174,0.41497258,6.2029999999999985
106,5.0,6.75,3.0,2.81,3.0,1.621,0.0,377.732127,0.02256666000000001,13.893
107,3.0,2.5,3.0,5.145,4.0,1.793,0.0,1970.4098,0.17948889999999998,9.112
108,5.0,6.25,2.0,3.6,3.0,1.78,0.046,245.2913,0.0224538,9.067
109,5.0,3.5,2.0,0.0,3.0,1.611,0.0,349.7388,0.07846692999999999,3.699
110,5.0,3.0,3.0,0.0,3.0,1.533,0.0,78.84944,0.05602215,1.168
111,2.0,2.5,3.0,0.0,4.0,1.6980000000000002,0.0,2206.059386,0.2691174000000001,6.8039999999999985
112,5.0,6.5,2.0,2.65,3.0,1.528,0.0,89.95410100000002,0.02241899,3.33
113,3.0,6.5,3.0,2.595,4.0,1.6030000000000002,0.0,144.12346000000005,0.04484186,2.668
114,5.0,7.75,2.0,2.76,3.0,1.582,0.013999999999999999,380.91993,0.13448904,2.351
115,2.0,5.75,2.0,2.8,4.0,1.557,0.01,380.91993,0.13448904,2.351
116,5.0,4.0,2.0,4.48,3.0,1.95,0.0,445.014329,0.03365288,10.976
117,6.0,2.5,3.0,2.813,0.0,0.0,0.0,128.151779,0.033649990000000005,3.161
118,2.0,0.0,0.0,0.0,0.0,0.0,0.0,340.61979,0.033628630000000014,8.407
119,2.0,5.0,0.0,6.33,0.0,0.0,0.0,1520.42316,0.1009023,12.507
120,2.0,2.75,1.0,3.0,4.0,1.625,0.0,465.325046,0.06734836000000001,5.735
121,2.0,1.5,1.0,3.0,3.0,1.71,0.0,102.93625,0.03359535,2.543
122,2.0,1.75,2.0,1.56,4.0,1.51,0.0,91.7565,0.033436,2.278
123,2.0,0.0,0.0,0.0,0.0,0.0,0.0,465.95894,0.0336308,11.5
124,3.0,3.0,1.0,7.417000000000002,3.0,2.165,0.0,493.9693400000001,0.04483211,9.145
125,2.0,3.0,2.0,5.5,4.0,1.6569999999999998,0.0,448.154844,0.17932862,2.074
126,0.0,3.75,1.0,5.12,2.0,0.0,0.0,196.81295,0.02241405,7.2879999999999985
127,2.0,2.75,0.0,2.23,4.0,1.485,0.0,179.388928,0.1120702,1.329
128,3.0,0.0,1.0,3.99,4.0,2.05,0.0,178.4851,0.04479943,3.307
129,2.0,4.0,2.0,0.0,4.0,1.565,0.0,1412.442983,0.2690581200000001,4.357
130,2.0,3.75,2.0,4.7,4.0,1.6880000000000002,0.0,445.238068,0.044932099999999996,8.225
131,3.0,0.0,0.0,0.0,0.0,0.0,0.0,548.9696,0.05603911,8.131
132,3.0,7.25,2.0,2.95,4.0,1.665,0.024,113.3785,0.03344478,2.814
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.675736,0.033752380000000005,5.4510000000000005
134,2.0,0.0,2.0,3.6,4.0,1.807,0.0,196.55938,0.05585618,2.9210000000000003
135,2.0,0.0,0.0,0.0,0.0,0.0,0.0,647.41425,0.08979658,5.984
136,2.0,2.0,2.0,1.73,4.0,0.0,0.0,192.45294,0.2016994,0.792
137,3.0,0.0,2.0,2.28,4.0,1.546,0.0,236.29279,0.0337051,5.819
138,4.0,3.75,1.0,4.775,0.0,0.0,0.0,295.8359,0.0336295,7.301
139,2.0,5.5,2.0,2.98,4.0,1.614,0.013999999999999999,361.906469,0.17927976999999998,1.675
140,2.0,4.5,3.0,3.05,4.0,1.604,0.0,300.3052600000001,0.08968949999999999,2.779
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0891180000001,0.02248933,11.592
142,2.0,3.75,2.0,3.97,4.0,1.766,0.0,452.29164000000003,0.17926476,2.094
143,5.0,9.0,2.0,3.02,0.0,1.726,0.0,25.01158,0.01120088,1.853
144,3.0,3.5,1.0,4.13,4.0,2.622,0.131,79.8788,0.022402599999999998,2.959
145,3.0,0.0,3.0,3.76,4.0,2.003,0.0,253.73327799999998,0.033648060000000014,6.259
146,5.0,2.75,3.0,2.395,3.0,1.5830000000000002,0.0,41.31234,0.02242,1.529
147,2.0,2.5,2.0,2.3280000000000003,4.0,1.545,0.0,167.04816200000005,0.0672189,2.063
148,2.0,0.0,2.0,2.32,4.0,1.5319999999999998,0.0,204.13781799999998,0.06722118,2.521
149,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2126.33581,0.31379963,5.624
150,1.0,4.5,3.0,0.0,4.0,1.591,0.0,486.537006,0.11220779999999997,3.599
151,6.0,5.5,3.0,6.898,2.0,2.37,0.0,208.079,0.02241177,7.706
152,1.0,6.0,2.0,3.383,4.0,1.676,0.0,418.2832,0.1008668,3.442
153,5.0,5.0,2.0,2.43,3.0,1.622,0.0,818.4253279999997,0.10107386,6.721
154,2.0,5.0,3.0,3.89,4.0,1.73,0.0,343.084659,0.06728143,4.232
155,5.0,3.5,3.0,2.4,3.0,1.6130000000000002,0.0,892.228126,0.16826143,4.401
156,0.0,3.5,1.0,3.9,2.0,2.2,0.0,686.36667,0.07850258000000003,7.2570000000000014
157,2.0,4.5,3.0,3.28,4.0,2.047,0.0,803.38176,0.15691329999999998,4.25
158,3.0,3.5,2.0,2.878,4.0,1.64,0.0,125.6976,0.04481868,2.3280000000000003
159,5.0,3.0,2.0,2.71,3.0,1.595,0.0,68.08840000000001,0.01122721,5.034
160,6.0,7.0,2.0,3.756,2.0,1.872,0.0,154.86995,0.011222539999999998,11.454
161,3.0,2.75,2.0,5.7,4.0,2.498,0.0,956.3076,0.10091809999999997,7.865
162,2.0,0.0,0.0,3.0,4.0,1.631,0.0,675.3544099999998,0.35853651000000003,1.5630000000000002
163,5.0,5.5,2.0,2.465,3.0,1.508,0.0,364.235811,0.06739351,4.4860000000000015
164,4.0,2.75,2.0,2.45,3.0,1.519,0.0,487.350546,0.12340381,3.278
165,5.0,2.75,3.0,3.42,3.0,1.649,0.0,555.9561739999998,0.07863690000000001,5.8679999999999986
166,6.0,7.0,1.0,5.9,0.0,0.0,0.0,66.00283999999999,0.01120423,4.8889999999999985
167,3.0,2.0,2.0,5.105,4.0,2.073,0.0,734.10318,0.05608588999999999,10.864
168,3.0,2.5,2.0,1.6,4.0,1.479,0.0,484.2201,0.0554494,7.247999999999998
169,2.0,2.0,3.0,4.7,4.0,1.919,0.0,424.0651,0.06724253999999999,5.234
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.09670300000001,0.0112477,4.287
171,2.0,1.5,3.0,1.35,4.0,1.923,0.0,150.17963999999995,0.06732372,1.851
172,3.0,5.75,2.0,2.983,4.0,1.6230000000000002,0.0,219.00082799999998,0.033663430000000015,5.4
173,4.0,6.5,1.0,7.04,3.0,2.049,0.071,134.7094,0.011212200000000002,9.972
